GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
im-sdk-core,com.easemob.im.server.api.room.admin.demote,DemoteRoomAdminResponse.Wrapper,0,12,0,0,0,5,0,2,0,2
im-sdk-core,com.easemob.im.server.api.room.admin.demote,DemoteRoomAdmin,7,62,1,1,2,12,1,6,0,6
im-sdk-core,com.easemob.im.server.api.room.admin.demote,DemoteRoomAdminResponse,1,18,2,2,0,4,2,2,0,2
im-sdk-core,com.easemob.im.server.api.room,RoomApi,185,0,0,0,33,0,18,0,18,0
im-sdk-core,com.easemob.im.server.api.group.announcement,GroupAnnouncementGetResponse,0,10,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.group.announcement,GroupAnnouncementResource,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.group.announcement,GroupAnnouncement,6,104,1,1,1,17,1,9,0,9
im-sdk-core,com.easemob.im.server.api.group.member.list,GroupMemberListResponse,3,11,0,0,1,2,1,2,1,2
im-sdk-core,com.easemob.im.server.api.group.member.list,GroupMemberList,0,103,0,4,0,16,0,9,0,7
im-sdk-core,com.easemob.im.server.api.user.forcelogout,ForceLogoutUser,0,88,0,4,0,19,0,9,0,7
im-sdk-core,com.easemob.im.server.api.user.forcelogout,UserForceLogoutResponse,0,10,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.user.forcelogout,UserForceLogoutResponse.UserForceLogoutResultResource,0,6,0,0,0,3,0,1,0,1
im-sdk-core,com.easemob.im.server.api.notification,NotificationApi,14,0,0,0,4,0,2,0,2,0
im-sdk-core,com.easemob.im.server.api.user,UserApi,125,0,0,0,30,0,12,0,12,0
im-sdk-core,com.easemob.im.server.api.user,UserResource,22,21,0,0,2,6,2,3,2,3
im-sdk-core,com.easemob.im.server.api.block.login,BlockUserLogin,0,68,0,0,0,11,0,7,0,7
im-sdk-core,com.easemob.im.server.api.block.room.msg.list,ListUsersBlockedSendMsgToRoom,0,51,0,0,0,9,0,5,0,5
im-sdk-core,com.easemob.im.server.api.block.room.msg.list,ListUsersBlockedSendMsgToRoomResponse,0,15,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.block.room.msg.list,ListUsersBlockedSendMsgToRoomResponse.BlockedUser,0,18,0,0,0,5,0,2,0,2
im-sdk-core,com.easemob.im.server.api.token,Token,19,20,0,0,1,7,1,4,1,4
im-sdk-core,com.easemob.im.server.api.message,MessageApi,67,0,0,0,13,0,7,0,7,0
im-sdk-core,com.easemob.im.server.api.user.unregister,UserUnregisterResponse,18,27,0,0,5,10,2,4,2,4
im-sdk-core,com.easemob.im.server.api.user.unregister,DeleteUser,8,149,1,5,2,24,1,14,0,12
